"6.09.2020","TRD140721T18",101,29,,,,,,,,,,"6.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.09.2020","TRD140721T18",101,32,,,,,,,,,,"7.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.09.2020","TRD140721T18",101,35,,,,,,,,,,"8.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9.09.2020","TRD140721T18",101,37,,,,,,,,,,"9.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.09.2020","TRD140721T18",101,4,,,,,,,,,,"10.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11.09.2020","TRD140721T18",101,42,,,,,,,,,,"11.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.09.2020","TRD140721T18",101,45,,,,,,,,,,"12.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.09.2020","TRD140721T18",101,47,,,,,,,,,,"13.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14.09.2020","TRD140721T18",101,5,,,,,,,,,,"14.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15.09.2020","TRD140721T18",101,53,,,,,,,,,,"15.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16.09.2020","TRD140721T18",101,55,,,,,,,,,,"16.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17.09.2020","TRD140721T18",101,58,,,,,,,,,,"17.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18.09.2020","TRD140721T18",101,6,,,,,,,,,,"18.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19.09.2020","TRD140721T18",101,63,,,,,,,,,,"19.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20.09.2020","TRD140721T18",101,66,,,,,,,,,,"20.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21.09.2020","TRD140721T18",101,68,,,,,,,,,,"21.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.09.2020","TRD140721T18",101,71,,,,,,,,,,"22.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.09.2020","TRD140721T18",101,73,,,,,,,,,,"23.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24.09.2020","TRD140721T18",101,76,,,,,,,,,,"24.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25.09.2020","TRD140721T18",101,78,,,,,,,,,,"25.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26.09.2020","TRD140721T18",101,81,,,,,,,,,,"26.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27.09.2020","TRD140721T18",101,84,,,,,,,,,,"27.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28.09.2020","TRD140721T18",101,86,,,,,,,,,,"28.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29.09.2020","TRD140721T18",101,89,,,,,,,,,,"29.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30.09.2020","TRD140721T18",101,91,,,,,,,,,,"30.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.10.2020","TRD140721T18",101,94,,,,,,,,,,"1.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.10.2020","TRD140721T18",101,97,,,,,,,,,,"2.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.10.2020","TRD140721T18",101,99,,,,,,,,,,"3.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.10.2020","TRD140721T18",102,02,,,,,,,,,,"4.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.10.2020","TRD140721T18",102,04,,,,,,,,,,"5.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.10.2020","TRD140721T18",102,07,,,,,,,,,,"6.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.10.2020","TRD140721T18",102,09,,,,,,,,,,"7.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.10.2020","TRD140721T18",102,12,,,,,,,,,,"8.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
